Date,Open,High,Low,Close,Volume,Adjusted Close
2015-09-15,3043.804932,3081.702881,2983.919922,3005.172119,249200.0,3005.172119
2015-09-14,3221.165039,3229.481934,3049.22998,3114.798096,346600.0,3114.798096
2015-09-11,3189.479004,3223.761963,3163.448975,3200.233887,224600.0,3200.233887
2015-09-10,3190.552979,3243.281006,3178.904053,3197.893066,273300.0,3197.893066
2015-09-09,3182.552002,3256.74292,3165.696045,3243.089111,375300.0,3243.089111
2015-09-08,3054.444092,3174.708984,3011.116943,3170.451904,255400.0,3170.451904
2015-09-07,3149.379883,3217.579102,3066.303955,3080.419922,296500.0,3080.419922
2015-09-02,3027.677979,3194.485107,3019.086914,3160.166992,438200.0,3160.166992
2015-09-01,3157.832031,3180.331055,3053.738037,3166.624023,432400.0,3166.624023
2015-08-31,3203.559082,3207.862061,3109.163086,3205.986084,397400.0,3205.986084
2015-08-28,3125.263916,3235.839111,3102.945068,3232.350098,443100.0,3232.350098
2015-08-27,2978.030029,3085.422119,2906.48999,3083.591064,400300.0,3083.591064
2015-08-26,2980.793945,3092.041016,2850.714111,2927.288086,466700.0,2927.288086
2015-08-25,3004.125977,3123.033936,2947.944092,2964.967041,352300.0,2964.967041
2015-08-24,3373.478027,3388.364014,3191.878906,3209.905029,334700.0,3209.905029
2015-08-21,3609.958984,3652.836914,3490.540039,3507.743896,369900.0,3507.743896
2015-08-20,3754.566895,3788.004883,3663.606934,3664.291016,390100.0,3664.291016
2015-08-19,3646.802979,3811.427002,3558.383057,3794.108887,475400.0,3794.108887
2015-08-18,3999.134033,4006.336914,3743.394043,3748.164062,543800.0,3748.164062
2015-08-17,3947.843994,3994.537109,3907.398926,3993.667969,460400.0,3993.667969
2015-08-14,3976.405029,4000.684082,3939.834961,3965.334961,468000.0,3965.334961
2015-08-13,3869.910889,3955.789062,3838.158936,3954.555908,430100.0,3954.555908
2015-08-12,3881.228027,3937.771973,3871.135986,3886.320068,442700.0,3886.320068
2015-08-11,3928.808105,3970.336914,3891.178955,3927.907959,538900.0,3927.907959
2015-08-10,3786.032959,3943.624023,3775.854004,3928.415039,497300.0,3928.415039
2015-08-07,3692.614014,3756.73999,3686.300049,3744.205078,340800.0,3744.205078
2015-08-06,3625.503906,3710.570068,3614.741943,3661.539062,274100.0,3661.539062
2015-08-05,3745.645996,3782.352051,3676.389893,3694.572998,366400.0,3694.572998
2015-08-04,3621.85498,3757.029053,3601.289062,3756.544922,362900.0,3756.544922
2015-08-03,3614.98999,3648.943115,3549.496094,3622.905029,364000.0,3622.905029
2015-07-31,3655.666992,3729.511963,3620.165039,3663.726074,351000.0,3663.726074
2015-07-30,3773.788086,3844.374023,3685.956055,3705.766113,457900.0,3705.766113
2015-07-29,3689.824951,3792.072021,3612.063965,3789.167969,434400.0,3789.167969
2015-07-28,3573.143066,3762.525879,3537.35791,3663.001953,563300.0,3663.001953
2015-07-27,3985.570068,4051.158936,3720.444092,3725.558105,556000.0,3725.558105
2015-07-24,4124.754883,4184.449219,4044.831055,4070.907959,627400.0,4070.907959
2015-07-23,4022.268066,4132.611816,4019.038086,4123.922852,563600.0,4123.922852
2015-07-22,3996.427002,4042.337891,3960.864014,4026.044922,520700.0,4026.044922
2015-07-21,3939.897949,4041.819092,3912.801025,4017.675049,504300.0,4017.675049
2015-07-20,3948.420898,4021.325928,3927.121094,3992.110107,539100.0,3992.110107
2015-07-17,3831.420898,3994.477051,3814.146973,3957.352051,481700.0,3957.352051
2015-07-16,3758.504883,3877.513916,3688.441895,3823.176025,492300.0,3823.176025
2015-07-15,3874.968018,3914.272949,3741.25,3805.702881,601300.0,3805.702881
2015-07-14,3958.373047,4035.435059,3855.560059,3924.487061,670600.0,3924.487061
2015-07-13,3918.98999,4030.195068,3858.636963,3970.387939,643500.0,3970.387939
2015-07-10,3707.458008,3959.219971,3677.435059,3877.802979,586400.0,3877.802979
2015-07-09,3432.454102,3748.479004,3373.540039,3709.330078,656900.0,3709.330078
2015-07-08,3467.398926,3599.25293,3421.524902,3507.191895,680400.0,3507.191895
2015-07-07,3654.778076,3750.570068,3585.398926,3727.125,698800.0,3727.125
2015-07-06,3975.214111,3975.214111,3653.037109,3775.912109,831100.0,3775.912109
2015-07-03,3793.711914,3927.12793,3629.555908,3686.915039,548200.0,3686.915039
2015-07-02,4058.624023,4080.386963,3795.25293,3912.76709,586000.0,3912.76709
2015-07-01,4214.149902,4317.053223,4043.366943,4053.699951,598800.0,4053.699951
2015-06-30,4006.753906,4279.969238,3847.879883,4277.222168,709200.0,4277.222168
2015-06-29,4289.770996,4297.475098,3875.050049,4053.030029,673800.0,4053.030029
