Date,Value
2015-09-15,1106.0
2015-09-14,1104.8
2015-09-11,1101.3
2015-09-10,1109.5
2015-09-09,1109.9
2015-09-08,1121.2
2015-09-07,1119.5
2015-09-04,1118.3
2015-09-03,1128.0
2015-09-02,1137.8
2015-09-01,1142.3
2015-08-31,1135.0
2015-08-28,1135.0
2015-08-27,1119.0
2015-08-26,1120.8
2015-08-25,1137.5
2015-08-24,1166.5
2015-08-21,1156.5
2015-08-20,1147.7
2015-08-19,1126.2
2015-08-18,1111.5
2015-08-17,1118.8
2015-08-14,1118.3
2015-08-13,1116.8
2015-08-12,1119.0
2015-08-11,1108.3
2015-08-10,1097.0
2015-08-07,1093.5
2015-08-06,1089.8
2015-08-05,1085.1
2015-08-04,1090.7
2015-08-03,1091.9
2015-07-31,1098.4
2015-07-30,1087.5
2015-07-29,1090.3
2015-07-28,1096.2
2015-07-27,1100.0
2015-07-24,1080.8
2015-07-23,1097.4
2015-07-22,1088.6
2015-07-21,1105.6
2015-07-20,1104.6
2015-07-17,1132.8
2015-07-16,1144.4
2015-07-15,1147.4
2015-07-14,1157.4
2015-07-13,1154.0
2015-07-10,1159.3
2015-07-09,1164.3
2015-07-08,1158.5
2015-07-07,1156.3
2015-07-06,1166.0
2015-07-03,1168.0
2015-07-02,1165.3
2015-07-01,1168.0
2015-06-30,1171.0
2015-06-29,1176.0
2015-06-26,1170.5
2015-06-25,1172.7
2015-06-24,1173.8
2015-06-23,1178.0
2015-06-22,1185.5
2015-06-19,1203.4
2015-06-18,1201.9
2015-06-17,1178.0
2015-06-16,1177.8
2015-06-15,1181.4
2015-06-12,1182.8
2015-06-11,1178.5
2015-06-10,1188.5
2015-06-09,1177.4
2015-06-08,1172.8
2015-06-05,1164.6
2015-06-04,1176.0
2015-06-03,1190.0
2015-06-02,1192.8
2015-06-01,1199.9
2015-05-29,1191.4
2015-05-28,1185.0
2015-05-27,1185.9
2015-05-26,1185.4
2015-05-25,1204.1
2015-05-22,1204.1
2015-05-21,1205.0
2015-05-20,1210.5
2015-05-19,1214.3
2015-05-18,1223.5
2015-05-15,1220.5
2015-05-14,1225.0
2015-05-13,1210.5
2015-05-12,1191.5
2015-05-11,1189.3
2015-05-08,1186.0
2015-05-07,1187.0
2015-05-06,1194.3
2015-05-05,1197.0
2015-05-04,1176.0
2015-05-01,1176.0
2015-04-30,1180.3
2015-04-29,1209.0
2015-04-28,1209.0
2015-04-27,1200.0
2015-04-24,1183.0
2015-04-23,1185.8
2015-04-22,1189.3
2015-04-21,1195.3
2015-04-20,1196.5
2015-04-17,1203.4
2015-04-16,1204.4
2015-04-15,1192.9
2015-04-14,1194.8
2015-04-13,1198.9
2015-04-10,1207.4
2015-04-09,1194.8
2015-04-08,1207.3
2015-04-07,1211.0
2015-04-06,1198.5
2015-04-03,1198.5
2015-04-02,1198.5
2015-04-01,1197.0
2015-03-31,1187.0
2015-03-30,1185.5
2015-03-27,1195.8
2015-03-26,1203.2
2015-03-25,1195.6
2015-03-24,1191.5
2015-03-23,1186.3
2015-03-20,1183.1
2015-03-19,1166.0
2015-03-18,1147.3
2015-03-17,1150.8
2015-03-16,1150.8
2015-03-13,1152.0
2015-03-12,1152.3
2015-03-11,1150.0
2015-03-10,1162.0
2015-03-09,1168.5
2015-03-06,1175.8
2015-03-05,1202.0
2015-03-04,1199.5
2015-03-03,1212.8
2015-03-02,1212.5
2015-02-27,1214.0
2015-02-26,1208.3
2015-02-25,1204.8
2015-02-24,1192.5
2015-02-23,1204.5
2015-02-20,1208.3
2015-02-19,1209.5
2015-02-18,1206.0
2015-02-17,1209.5
2015-02-16,1229.3
2015-02-13,1232.5
2015-02-12,1222.5
2015-02-11,1223.8
2015-02-10,1234.5
2015-02-09,1238.5
2015-02-06,1241.0
2015-02-05,1259.3
2015-02-04,1268.5
2015-02-03,1264.3
2015-02-02,1272.5
2015-01-30,1260.3
2015-01-29,1268.8
2015-01-28,1288.0
2015-01-27,1288.5
2015-01-26,1281.3
